Channel,Product Name/Description,Price,Contact Info,Other Info
ZemenExpress,"Saachi Electric Kettle (Borosilicate Glass Body, Overheat protection, Automatic switch off, 2200w)",2700,"0902660722, 0928460606, Telegram: zemencallcenter, zemenexpressadmin","S05, S06, https://telegram.me/zemenexpress"
ZemenExpress,Shock and Noise Cancelling Washing Machine Support (Washer and Dryer Pedestals),500,"0902660722, 0928460606, Telegram: zemencallcenter, zemenexpressadmin","S05, S06, https://telegram.me/zemenexpress"
ZemenExpress,WaterProof Shower Cap (reusable),200,"0902660722, 0928460606, Telegram: zemencallcenter, zemenexpressadmin","S05, S06, https://telegram.me/zemenexpress"
ZemenExpress,3pcs Bottle Stopper,400,"0902660722, 0928460606, Telegram: zemencallcenter, zemenexpressadmin","S05, S06, https://telegram.me/zemenexpress"
ZemenExpress,"Smart USB Ultrasonic Car and Home Air Humidifier (Colorful LED Light, Original High Quality)",1100,"0902660722, 0928460606, Telegram: zemencallcenter, zemenexpressadmin","S05, S06, https://telegram.me/zemenexpress"
helloomarketethiopia,Beauty Products (Made in Ethiopia),N/A,"0974312223, Telegram: https://t.me/helloo_market_bot?start=117110001","Madeinethiopia, Ethiopian Marketplace, BuyEthiopia"
helloomarketethiopia,Bedding (5 pieces),8420,Telegram: https://t.me/helloo_market_bot?start=175610010,"Madeinethiopia, Ethiopian Marketplace, BuyEthiopia"
helloomarketethiopia,Food Products,N/A,"0974312223, Telegram: https://t.me/helloo_market_bot?start=173910003","Madeinethiopia, Ethiopian Marketplace, BuyEthiopia"
unknown,N/A (Promotional message),N/A,Telegram: https://t.me/mulebestbran,N/A
Fashiontera,"GOUPU (Made in Vietnam, Size 40,42)",3500,"Inbox: Hiwe5266, Phone: 251945355266","Free Delivery, Fashion Tera, Telegram: https://t.me/FashionTera"
Fashiontera,"Jordan Low (Made in Vietnam, Size 40,41,42,43)",3800,"Inbox: Hiwe5266, Phone: 251945355266","Free Delivery, Fashion Tera, Telegram: https://t.me/FashionTera"
Fashiontera,"NB (Size 41,42,43)",3200,"Inbox: Hiwe5266, Phone: 251945355266","Free Delivery, Fashion Tera, Telegram: https://t.me/FashionTera"
Fashiontera,"Nike (Made in Vietnam, Size 42,43)",3500,"Inbox: Hiwe5266, Phone: 251945355266","Free Delivery, Fashion Tera, Telegram: https://t.me/FashionTera"
Fashiontera,"Skechers (Made in Vietnam, Size 42,44)",35000,"Inbox: Hiwe5266, Phone: 251945355266","Free Delivery, Fashion Tera, Telegram: https://t.me/FashionTera"
modernshoppingcenter,Honey Comb Fabric Forefoot Pads,250,"0924743736, 0974978584, Telegram: t.me/modernshoppingcenter",TikTok: modernshoppingcenter1
modernshoppingcenter,N/A (Promotional message),3000,"0924743736, 0974978584, Telegram: t.me/modernshoppingcenter",TikTok: modernshoppingcenter1
modernshoppingcenter,N/A (Promotional message),500,"0924743736, 0974978584, Telegram: t.me/modernshoppingcenter",TikTok: modernshoppingcenter1
modernshoppingcenter,N/A (Promotional message),1500,"0924743736, 0974978584, Telegram: t.me/modernshoppingcenter",TikTok: modernshoppingcenter1
modernshoppingcenter,360° Rotating Stand,4000,"0924743736, 0974978584, Telegram: t.me/modernshoppingcenter",TikTok: modernshoppingcenter1
Shewabrand,"Stock Jeans (Original, Size 29-36)",N/A,"0987336458, 0948595409, Telegram: https://t.me/shewabrand","SHEWA BRAND, Inbox: shewat2"
Shewabrand,"Air Jordan 1 (Original, Size 40-43, Made in Vietnam)",N/A,"0987336458, 0948595409, Telegram: https://t.me/shewabrand","SHEWA BRAND, Inbox: shewat2"
Shewabrand,"Under Armour Curry 11 (Original, Size 40-44, Made in Vietnam)",N/A,"0987336458, 0948595409, Telegram: https://t.me/shewabrand","SHEWA BRAND, Inbox: shewat2"
Shewabrand,"Puma Spirex (Original, Size 40-43, Made in Vietnam)",N/A,"0987336458, 0948595409, Telegram: https://t.me/shewabrand","SHEWA BRAND, Inbox: shewat2"
